rank,word,tfidf_score,frequency
1,speed,0.18554500922765185,34
2,points,0.13027441994268454,13
3,correct,0.12429235108127662,29
4,design,0.12295477426074579,26
5,drive,0.11911545575620937,20
6,motor,0.11438800628017454,23
7,control,0.10877218306875912,24
8,fan,0.10103280497771072,15
9,standards,0.0934365772849924,13
10,simulation,0.09277409017402799,16
11,assessment,0.09249516749795846,9
12,tower,0.08848806663758335,11
13,circuit,0.08668529955157733,18
14,project,0.08517975159078787,16
15,protection,0.08293691610401656,17
16,rated,0.07805306972782793,10
17,must,0.0761280449961035,12
18,system,0.07343921029593253,9
19,torque,0.0733583091113315,12
20,cooling,0.07112862575784944,10
21,selection,0.06519143792239868,13
22,partially,0.0649523354781724,12
23,results,0.06300779470519889,11
24,lfi,0.06183311417228898,6
25,electrical,0.059557727878104684,10
26,saudi,0.058808691735403366,6
27,specifications,0.05769688646923395,11
28,incorrect,0.05704081014703267,12
29,calculations,0.05578426929851774,6
30,use,0.0522988349506028,10
31,questions,0.05189685403271354,6
32,name,0.051386204165532474,5
33,load,0.05029897477583398,8
34,bahraini,0.05019262708272182,6
35,knowledge,0.050105546131801744,5
36,power,0.04989271460878284,8
37,phase,0.047704290395718336,7
38,provide,0.0467915618870848,6
39,controller,0.04663974314070246,9
40,voltage,0.04567396835423162,9
41,individual,0.04555816007899297,7
42,presentation,0.04381161397311689,7
43,electric,0.04303790240860698,7
44,multisim,0.04286925486135106,8
45,water,0.041535384952050725,5
46,heat,0.04110896333242598,4
47,company,0.04110896333242598,4
48,relevant,0.04085231803724467,6
49,group,0.04035656073368881,7
50,answered,0.0400844369054414,4
