rank,word,tfidf_score,frequency
1,speed,0.18555,34
2,points,0.13027,13
3,correct,0.12429,29
4,design,0.12295,26
5,drive,0.11912,20
6,motor,0.11439,23
7,control,0.10877,24
8,fan,0.10103,15
9,standards,0.09344,13
10,simulation,0.09277,16
11,assessment,0.0925,9
12,tower,0.08849,11
13,circuit,0.08669,18
14,project,0.08518,16
15,protection,0.08294,17
16,rated,0.07805,10
17,must,0.07613,12
18,system,0.07344,9
19,torque,0.07336,12
20,cooling,0.07113,10
21,selection,0.06519,13
22,partially,0.06495,12
23,results,0.06301,11
24,lfi,0.06183,6
25,electrical,0.05956,10
26,saudi,0.05881,6
27,specifications,0.0577,11
28,incorrect,0.05704,12
29,calculations,0.05578,6
30,use,0.0523,10
